category,instruction,input,output
Scholarships,Describe the available scholarships for students.,How can I check the status of my scholarship application?,"To check the status of your scholarship application, visit the official Rajasthan government scholarship portal and log in with your credentials. There, you can view the status of your application, any updates, and additional requirements if needed."
Contact Details,Give contact information for a specific college.,"What is the contact information for the examination office at Government Engineering College, Ajmer?","For inquiries related to examinations at Government Engineering College, Ajmer, contact the examination office at: Phone: +91-145-2633250, Email: exams@gecajmer.ac.in, Address: Government Engineering College, Ajmer, Rajasthan, 305001."
Open-Ended Questions,Ask an open-ended question to encourage the user to share their thoughts.,What are your thoughts on the importance of creativity?,Creativity is a powerful tool that can bring about innovation and problem-solving. What do you think?
Fee Structure,Provide the fee structure for B.Tech a specific branch.,What is the cost of a B.Tech in Computer Science at Indian Institute of Technology Delhi (IIT Delhi)?,"IIT Delhi is a premier public institute and B.Tech programs there typically have subsidized tuition fees. The fees for B.Tech in Computer Science could be around INR 10,000 - 20,000 per year. However, there might be additional charges for hostel, mess, and other student life expenses. It's recommended to check the official IIT Delhi website for the latest fee structure."
Admission Process,Outline the steps to change the college preference during REAP counseling.,How can I change my college preference during REAP counseling?,"To change your college preference during REAP counseling, you need to log in to your REAP account during the specified choice filling period. You can then rearrange your college and course preferences. Once you are satisfied with your choices, lock them and submit. Changes are not allowed after the choice locking deadline."
Hostel Facilities,Provide information on hostel facilities.,"What are the amenities available in the hostels at Government Engineering College, Jhalawar?","Hostels at Government Engineering College, Jhalawar include amenities such as Wi-Fi, study rooms, sports facilities, a common dining area, 24/7 security, and laundry services. Students have options for single and shared rooms, with an annual hostel fee of approximately INR 22,000."
Seat Availability,Give information on the seat availability for the specific branch at the specific college.,"How many seats are available for the Electronics and Communication Engineering branch at Malaviya National Institute of Technology, Jaipur?","Malaviya National Institute of Technology, Jaipur has 60 seats available for the Electronics and Communication Engineering branch. For real-time updates, refer to their [official website](http://www.mnit.ac.in)."
Placement Information,Explain placement opportunities available at a specific college.,"What are the placement opportunities at Malaviya National Institute of Technology, Jaipur?","Malaviya National Institute of Technology, Jaipur offers excellent placement opportunities with major recruiters including Microsoft, Google, and Oracle. The average salary package is INR 8 LPA, and the highest package offered was INR 22 LPA."
Hostel Facilities,Provide information on hostel facilities.,"Are there any facilities for differently-abled students in the hostels at Government Engineering College, Kota?","Government Engineering College, Kota provides special facilities for differently-abled students, including accessible rooms, ramps, and modified bathrooms. The hostels are equipped to accommodate the needs of differently-abled students to ensure their comfort and safety."
Apologies,Apologize for being repetitive.,You already said that.,I apologize for the repetition. I'll try to be more mindful of that in the future.
Apologies,Apologize for being unable to fulfill a request.,Can you help me with something specific?,"I'm sorry, but I may not have the capability to help with that. I'll do my best with what I can!"
Course Information,Explain dual degree programs offered by technical institutions.,"Does Malaviya National Institute of Technology (MNIT), Jaipur offer any dual degree programs?","Yes, Malaviya National Institute of Technology (MNIT), Jaipur offers a dual degree program in B.Tech and M.Tech in Computer Science Engineering. This program allows students to earn both degrees in an integrated format over five years."
General Questions,Ask about the user's favorite way to relax.,What's your favorite way to relax after a long day?,Relaxation is key! How do you like to unwind after a long day?
Scholarships,Describe the available scholarships for students.,Are there any scholarships available for women pursuing engineering in Rajasthan?,"Yes, there are scholarships available for women pursuing engineering in Rajasthan. One such scholarship is the 'Rajasthan State Women Empowerment Scholarship,' which supports female students based on merit and financial need. Applicants must be enrolled in a recognized engineering college and meet the eligibility criteria, including academic performance and family income limits."
Placement Information,Explain placement opportunities available at a specific college.,"What is the placement scenario at Government Engineering College, Bikaner?","Government Engineering College, Bikaner has a strong placement cell that partners with firms such as Tech Mahindra, Cognizant, and Infosys. The average package for graduates is INR 4.3 LPA, with the highest package being INR 10 LPA."
Fee Structure,Provide the fee structure for courses.,The fees seem high. Are there any scholarships available for engineering students?,"Absolutely! Many government and private institutions offer scholarships specifically for engineering students. These scholarships can significantly reduce the financial burden. You can check the websites of universities, scholarship portals, and government websites for relevant scholarship opportunities."
Apologies,Apologize for a delayed response.,Why did it take so long for you to reply?,I apologize for the delay in my response. I'll try to be quicker next time!
General Questions,Ask about the user's pet preferences.,"Do you have any pets, or would you like to have one?","Pets bring so much joy to life! Do you have any, or would you like to have one?"
Ranking Information,Share ranking information of the specific college.,"What is the current ranking of JECRC, Jaipur?","Jaipur Engineering College and Research Centre (JECRC) is ranked within the top 100 private engineering colleges in India by India Today 2023. It is recognized for its academic excellence, strong industry connections, and placement records."
Open-Ended Questions,Ask a philosophical question to spark deep thinking.,What do you believe is the meaning of life?,That's a big question! There are many perspectives on it. What are your thoughts?
Apologies,Apologize for not having the answer.,Do you know when the next lunar eclipse is?,"I'm sorry, I don't have that information right now. Maybe I can help with something else?"
Alumni Information,Provide information on the career paths of alumni from the specific college.,"What career paths have alumni from Government Engineering College, Ajmer taken?","Alumni from Government Engineering College, Ajmer have pursued diverse career paths, including roles such as CTOs in major tech firms, senior engineers in global companies, and successful entrepreneurs. For specific examples, refer to their [alumni section](http://www.gecajmer.ac.in)."
Placement Information,Explain placement opportunities available at a specific college.,"What placement opportunities are available at Government Engineering College, Kota?","Government Engineering College, Kota provides ample placement opportunities with companies like Infosys, HCL, and L&T. The average salary package is INR 4.8 LPA, and the highest package offered was INR 10.5 LPA."
Hostel Facilities,Provide information on hostel facilities.,"Are there any special facilities for international students at Government Engineering College, Bikaner?","Yes, Government Engineering College, Bikaner provides dedicated accommodation for international students. Facilities include single rooms, Wi-Fi, study areas, a common lounge, and international cuisine options in the mess. The hostel also offers assistance with cultural orientation."
Hostel Facilities,Provide information on hostel facilities.,"What are the laundry facilities like in the hostels at Government Engineering College, Kota?","The hostels at Government Engineering College, Kota have dedicated laundry rooms with washing machines and dryers. Students can use these facilities for a nominal fee. Laundry services are also available at an additional cost."
Contact Details,Provide contact information for the Directorate of Technical Education in Rajasthan.,What is the contact information for the Directorate of Technical Education in Rajasthan?,"You can contact the Directorate of Technical Education, Rajasthan at: Phone: +91-141-2223801, Email: dte@rajasthan.gov.in, Website: [www.dte.rajasthan.gov.in](http://www.dte.rajasthan.gov.in), Address: Directorate of Technical Education, Government of Rajasthan, 2nd Floor, A Block, Vidhyashram Campus, Jaipur, Rajasthan, 302017."
General Questions,Ask a simple general question to learn more about the user.,"What's your favorite book, and why do you like it?","Books can be so captivating! Which one is your favorite, and what do you like about it?"
Alumni Information,List achievements of alumni from the specific college.,"Who are some successful alumni from Amity University, Jaipur?","Successful alumni from Amity University, Jaipur include Arun Kumar, Chief Data Scientist at IBM, and Neha Gupta, Founder of a successful tech startup. For more information, visit their [alumni page](http://www.amity.edu/jaipur)."
Placement Information,Explain placement opportunities available at a specific college.,"What are the placement statistics for MBM Engineering College, Jodhpur?","MBM Engineering College, Jodhpur has a dedicated placement cell that works closely with top companies such as Cisco, HCL, and Amazon. The average salary package offered is INR 6 LPA, while the highest package last year was INR 14 LPA."
Greetings and Farewells,Respond to greetings and farewells.,"Goodbye, see you later!",Goodbye! Take care and see you soon!
Apologies,Offer a polite apology.,You made a mistake.,"I'm sorry if I got something wrong. I'm here to help, so please let me know how I can improve!"
Previous Years' Cutoff,Provide general information on how to check previous years' cutoffs for engineering colleges.,How can I find out the previous years' cutoff scores for engineering colleges in Rajasthan?,"To find out previous years' cutoff scores for engineering colleges in Rajasthan, visit the official websites of the respective colleges or the [Rajasthan Technical Education Department's website](http://www.dte.rajasthan.gov.in). Additionally, you can contact the admission offices of the colleges for historical cutoff information."
Contact Details,Provide contact details for a specific college.,"How can I contact the administration office at Rajasthan Technical University, Kota?","You can reach the administration office at Rajasthan Technical University, Kota at: Phone: +91-741-2202000, Email: admin@rtu.ac.in, Website: [www.rtu.ac.in](http://www.rtu.ac.in), Address: Rajasthan Technical University, Kota, Rajasthan, 324010."
Alumni Information,Provide information about notable alumni of the specific college.,"Who are some notable alumni of Malaviya National Institute of Technology, Jaipur?","Notable alumni of Malaviya National Institute of Technology, Jaipur include Dr. Dinesh Sharma, Vice Chairman of the Uttar Pradesh State Industrial Development Corporation, and Pankaj Patel, Chairman of Cadila Healthcare. For more details, visit their [alumni page](http://www.mnit.ac.in/alumni)."
Course Information,Provide information on the curriculum structure of the diploma courses.,"What is the curriculum structure for the diploma in Mechanical Engineering at Government Polytechnic College, Jodhpur?","The diploma in Mechanical Engineering at Government Polytechnic College, Jodhpur covers subjects such as Engineering Mechanics, Fluid Mechanics, Thermodynamics, Manufacturing Processes, and Machine Design. It also includes practical lab sessions and industrial training."
Course Information,Provide information on specializations in the B.Tech program.,"Does Government Engineering College, Ajmer offer a B.Tech program in Electronics and Communication Engineering?","Yes, Government Engineering College, Ajmer offers a B.Tech program in Electronics and Communication Engineering along with other specializations such as Computer Science Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, and Information Technology."
Course Information,Provide details about the grading system in engineering colleges.,What grading system is followed in engineering colleges in Rajasthan?,"Most engineering colleges in Rajasthan follow a semester-based grading system with letter grades such as A, B, C, D, and F, where A is the highest grade. The overall performance is evaluated using a Cumulative Grade Point Average (CGPA) system."
Ranking Information,Provide the latest ranking of the specific college.,"What is the ranking of Rajasthan Technical University, Kota in engineering?","Rajasthan Technical University, Kota is ranked among the top 150 engineering institutions in India by the National Institutional Ranking Framework (NIRF) 2023. The university is also recognized for its academic performance and research output, making it a preferred choice for engineering aspirants."
Placement Information,Explain placement opportunities available at a specific college.,What are the placement opportunities at Rajasthan Technical University?,"Rajasthan Technical University has a robust placement cell that coordinates with numerous companies for student placements. Major recruiters include Infosys, TCS, Wipro, and Accenture. The average salary package for the last academic year was around INR 5 LPA, with top offers going up to INR 15 LPA."
Eligibility Criteria,Explain the eligibility criteria.,What are the eligibility criteria for B.Tech programs in Rajasthan?,"To be eligible for B.Tech programs in Rajasthan, candidates must have passed Class 12th or equivalent with Physics, Mathematics, and Chemistry/Biology/Computer Science as compulsory subjects. They must have scored at least 45% marks (40% for reserved categories) in aggregate in the qualifying examination. Additionally, candidates must appear in the JEE Main or the relevant state entrance exam."
Contact Details,Give the contact details for the finance office of the specific college.,What are the contact details for the finance office at Rajasthan Technical University?,"The finance office at Rajasthan Technical University can be contacted at: Phone: +91-741-2202000, Email: finance@rtu.ac.in, Address: Rajasthan Technical University, Kota, Rajasthan, 324010."
Placement Information,Explain placement opportunities available at a specific college.,"What is the placement record of MBM Engineering College, Jodhpur?","MBM Engineering College, Jodhpur has a strong placement cell with companies such as TCS, Infosys, and Accenture recruiting students. The average salary package offered is INR 5.5 LPA, with the highest package reaching INR 14 LPA."
Open-Ended Questions,Ask about the user's favorite hobbies or activities.,"What hobbies do you enjoy the most, and why?","Everyone has something they love to do. What hobbies bring you the most joy, and why?"
Hostel Facilities,Provide information on hostel facilities.,"What is the average hostel fee at Engineering College, Ajmer?","The average hostel fee at Engineering College, Ajmer is around INR 18,000 per year. This fee covers accommodation in a shared room, Wi-Fi access, and basic amenities. Mess charges are additional and vary based on the meal plan chosen."
Admission Process,Provide details about the counseling process in REAP.,What is the counseling process in REAP for engineering admissions?,"The REAP counseling process involves multiple rounds where candidates are allotted seats based on their merit rank and preferences. After the merit list is published, candidates must participate in the choice filling process, lock their choices, and wait for the seat allotment result. Once allotted a seat, candidates need to report to the respective college to confirm their admission by submitting documents and paying the required fees."
Course Information,Provide information about part-time engineering programs.,Are part-time engineering programs available at Rajasthan Institute of Technology?,"No, Rajasthan Institute of Technology does not offer part-time engineering programs. They offer only full-time B.Tech and M.Tech programs."
Questions and Answers,Answer basic questions.,How are you?,"I'm doing well, thank you! How about you?"
Course Information,Provide course information about specific engineering courses.,What are the specializations offered in the B.Tech program at Rajasthan Technical University?,"Rajasthan Technical University offers B.Tech programs in various specializations, including Computer Science Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, Electronics and Communication Engineering, and Information Technology."
Scholarships,Describe the available scholarships for students.,What are the benefits of the Rajasthan Scholarship for Economically Backward Classes?,"The Rajasthan Scholarship for Economically Backward Classes provides financial support to students from economically weaker sections. Benefits include coverage of tuition fees, maintenance allowance, and other educational expenses. Eligibility requires meeting income limits and being enrolled in a recognized engineering or polytechnic institution."
Course Information,Provide course information about specific diploma programs.,"What diploma courses are offered at Government Polytechnic College, Jodhpur?","Government Polytechnic College, Jodhpur offers diploma courses in Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics Engineering, and Computer Science."
